Abandonment Rate,Flooding Rate,"Cumulative MtCO2e, 2020-2050"
6.8,46,312.5945576
6.8,47,307.0111934
6.8,48,301.4278291
6.8,49,295.8444649
6.8,50,290.2611007
6.8,51,284.6777365
6.8,52,279.0943722
6.8,53,273.511008
6.8,54,267.9276438
6.8,55,262.3442796
6.8,56,256.7609153
6.8,57,251.1775511
6.8,58,245.5941869
6.8,59,240.0108227
6.8,60,234.4274585
6.9,40,351.1843715
6.9,41,345.518899
6.9,42,339.8534264
6.9,43,334.1879539
6.9,44,328.5224814
6.9,45,322.8570089
6.9,46,317.1915364
6.9,47,311.5260638
6.9,48,305.8605913
6.9,49,300.1951188
6.9,50,294.5296463
6.9,51,288.8641738
6.9,52,283.1987012
6.9,53,277.5332287
6.9,54,271.8677562
6.9,55,266.2022837
6.9,56,260.5368112
6.9,57,254.8713386
6.9,58,249.2058661
6.9,59,243.5403936
6.9,60,237.8749211
7,40,356.2740001
7,41,350.5264192
7,42,344.7788384
7,43,339.0312576
7,44,333.2836768
7,45,327.536096
7,46,321.7885151
7,47,316.0409343
7,48,310.2933535
7,49,304.5457727
7,50,298.7981919
7,51,293.0506111
7,52,287.3030302
7,53,281.5554494
7,54,275.8078686
7,55,270.0602878
7,56,264.312707
7,57,258.5651262
7,58,252.8175453
7,59,247.0699645
7,60,241.3223837
7.1,40,361.3636286
7.1,41,355.5339395
7.1,42,349.7042504
7.1,43,343.8745613
7.1,44,338.0448722
7.1,45,332.2151831
7.1,46,326.3854939
7.1,47,320.5558048
7.1,48,314.7261157
7.1,49,308.8964266
7.1,50,303.0667375
7.1,51,297.2370484
7.1,52,291.4073592
7.1,53,285.5776701
7.1,54,279.747981
7.1,55,273.9182919
7.1,56,268.0886028
7.1,57,262.2589137
7.1,58,256.4292246
7.1,59,250.5995354
7.1,60,244.7698463
7.2,40,366.4532572
7.2,41,360.5414598
7.2,42,354.6296624
7.2,43,348.717865
7.2,44,342.8060675
7.2,45,336.8942701
7.2,46,330.9824727
7.2,47,325.0706753
7.2,48,319.1588779
7.2,49,313.2470805
7.2,50,307.3352831
7.2,51,301.4234857
7.2,52,295.5116883
7.2,53,289.5998908
7.2,54,283.6880934
7.2,55,277.776296
7.2,56,271.8644986
7.2,57,265.9527012
7.2,58,260.0409038
7.2,59,254.1291064
7.2,60,248.217309
7.3,40,371.5428858
7.3,41,365.5489801
7.3,42,359.5550743
7.3,43,353.5611686
7.3,44,347.5672629
7.3,45,341.5733572
7.3,46,335.5794515
7.3,47,329.5855458
7.3,48,323.5916401
7.3,49,317.5977344
7.3,50,311.6038287
7.3,51,305.609923
7.3,52,299.6160173
7.3,53,293.6221115
7.3,54,287.6282058
7.3,55,281.6343001
7.3,56,275.6403944
7.3,57,269.6464887
7.3,58,263.652583
7.3,59,257.6586773
7.3,60,251.6647716
7.4,40,376.6325143
7.4,41,370.5565003
7.4,42,364.4804863
7.4,43,358.4044723
7.4,44,352.3284583
7.4,45,346.2524443
7.4,46,340.1764303
7.4,47,334.1004163
7.4,48,328.0244023
7.4,49,321.9483883
7.4,50,315.8723743
7.4,51,309.7963603
7.4,52,303.7203463
7.4,53,297.6443323
7.4,54,291.5683182
7.4,55,285.4923042
7.4,56,279.4162902
7.4,57,273.3402762
7.4,58,267.2642622
7.4,59,261.1882482
7.4,60,255.1122342
7.5,40,381.7221429
7.5,41,375.5640206
7.5,42,369.4058983
7.5,43,363.247776
7.5,44,357.0896537
7.5,45,350.9315314
7.5,46,344.7734091
7.5,47,338.6152868
7.5,48,332.4571645
7.5,49,326.2990422
7.5,50,320.1409199
7.5,51,313.9827976
7.5,52,307.8246753
7.5,53,301.666553
7.5,54,295.5084307
7.5,55,289.3503084
7.5,56,283.192186
7.5,57,277.0340637
7.5,58,270.8759414
7.5,59,264.7178191
7.5,60,258.5596968
